,id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
0,1,maruti swift,2015,petrol,8063,386399,noida,18715,hatchback,manual,lxi opt,True,delhi,delhi,True,dl6c,inperson_sale,maruti,swift,in_stock,2,397677,great,20210404070918,True,8975,57960,False,False
1,2,maruti alto 800,2016,petrol,23104,265499,noida,2676,hatchback,manual,lxi,True,noida,uttar pradesh,True,up16,inperson_sale,maruti,alto 800,in_stock,1,272935,great,20210322140732,True,6167,39825,False,False
2,3,hyundai grand i10,2017,petrol,23402,477699,noida,609,hatchback,manual,sports 1.2 vtvt,True,agra,uttar pradesh,True,up80,inperson_sale,hyundai,grand i10,in_stock,1,469605,great,20210320053631,True,11096,71655,False,False
3,4,maruti swift,2013,diesel,39124,307999,noida,6511,hatchback,manual,vdi,True,delhi,delhi,True,dl1c,inperson_sale,maruti,swift,in_stock,1,294262,great,20210121125919,True,7154,46200,False,False
4,5,hyundai grand i10,2015,petrol,22116,361499,noida,3225,hatchback,manual,magna 1.2 vtvt,False,new delhi,delhi,True,dl12,inperson_sale,hyundai,grand i10,in_stock,1,360716,great,20210401133340,True,8397,54225,False,False
5,6,maruti alto k10,2018,petrol,23534,335299,noida,1055,hatchback,manual,vxi (o) amt,True,delhi,delhi,True,dl2c,inperson_sale,maruti,alto k10,in_stock,1,343212,great,20210413055516,True,7788,50295,False,False
6,7,maruti ritz,2012,diesel,41213,281999,noida,909,hatchback,manual,vdi,True,delhi,delhi,True,dl12,inperson_sale,maruti,ritz,in_stock,1,201200,great,20201229072625,True,6550,42300,False,False
7,8,hyundai i20,2012,petrol,38328,321499,noida,2760,hatchback,manual,asta 1.2,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,i20,in_stock,3,319200,great,20210225154730,True,7468,48225,False,False
8,9,hyundai elite i20,2014,diesel,56402,456199,noida,2475,hatchback,manual,magna 1.4 crdi,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,elite i20,in_stock,1,452023,great,20210313115725,True,10596,68430,False,False
9,10,renault kwid,2018,petrol,32703,281299,noida,2497,hatchback,manual,rxl,True,noida,uttar pradesh,True,up16,inperson_sale,renault,kwid,in_transit,1,264597,great,20210320065256,True,6534,42195,False,False
